idx,HOMO(eV),LUMO(eV),HOMO-LUMO(eV)
1,-5.03547,-2.53882,2.49664
2,-4.84771,-2.5195,2.32821
3,-5.23275,-2.63216,2.60059
4,-4.85342,-2.36549,2.48794
5,-4.85669,-2.29936,2.55733
6,-5.01506,-2.35106,2.66399
7,-5.02676,-2.35351,2.67325
8,-5.14622,-2.421,2.72522
9,-5.13724,-2.43351,2.70372
10,-5.09588,-2.40358,2.69229
11,-5.05669,-2.37637,2.68032
12,-4.89805,-3.14727,1.75078
13,-5.13452,-3.34809,1.78643
14,-4.90131,-2.48222,2.41909
15,-4.99383,-2.49937,2.49447
16,-5.12363,-2.76658,2.35705
17,-5.02376,-2.72985,2.29392
18,-5.00962,-2.77175,2.23786
19,-5.16989,-2.95325,2.21664
20,-4.83274,-2.44195,2.39079
